Zp,Zs,LR,MR,VpVs,label
6378.8145,3408.8716,17.4484,11.6204,1.8712,1
6412.1929,3481.0071,16.8816,12.1174,1.8419999999999999,1
6428.7163,3516.884,16.5915,12.3685,1.828,1
6434.8999,3527.9001,16.5158,12.4461,1.824,1
6423.1836,3531.386,16.3159,12.4707,1.8189,1
6417.0044,3489.9087,16.819000000000003,12.1795,1.8387,1
6389.7847,3478.9329,16.6235,12.103,1.8367,1
6305.5786,3466.6692,15.7261,12.0178,1.8189,1
6270.0356,3410.6677,16.0481,11.6327,1.8384,1
6300.7314,3385.96,16.77,11.4648,1.8608,1
6316.7397,3382.8323,17.0141,11.4436,1.8673,1
6317.5527,3383.3896,17.0167,11.4474,1.8672,1
6339.2993,3397.7126,17.098,11.5445,1.8658,1
6372.7949,3439.5371,16.9519,11.8304,1.8528,1
6417.603,3487.6633,16.8585,12.1638,1.8401,1
6462.1997,3548.6104,16.5746,12.5929,1.8211,1
6512.29,3570.157,16.9183,12.7461,1.8241,1
6540.5581,3591.092,16.987000000000002,12.895999999999999,1.8213,1
6514.3789,3573.3984,16.8989,12.7694,1.8230000000000002,1
6460.0918,3546.5122,16.5779,12.5779,1.8215,1
6402.6909,3515.2422,16.2813,12.357000000000001,1.8214,1
6339.8452,3473.1472,16.0691,12.0628,1.8254,1
6227.0459,3415.6501,15.4479,11.6668,1.8230000000000002,1
6106.793000000001,3322.3994,15.2187,11.0384,1.838,1
6049.8652,3238.4871,15.6253,10.4878,1.8681,1
6028.4097,3194.3789,15.9336,10.2041,1.8872,1
6036.2451,3158.5964,16.4831,9.9767,1.9111,1
6023.604,3153.0469,16.4014,9.9417,1.9104,1
5998.8857,3146.8447,16.1814,9.9026,1.9063,1
6005.8979,3127.1421,16.5127,9.779,1.9206,1
5973.9888,3115.9951,16.27,9.7098,1.9172,1
5920.3677,3089.9832,15.9547,9.5482,1.916,1
5910.5288,3083.3958,15.9199,9.5073,1.9169,1
5948.2603,3103.9436,16.1136,9.6345,1.9163,1
5999.8545,3141.886,16.2558,9.8715,1.9096,1
6057.7881,3197.3938,16.2508,10.2238,1.8946,1
6149.0376,3254.6084,16.6276,10.5929,1.8893,1
6233.1396,3297.0559,17.1111,10.8706,1.8905,1
6249.5757,3321.4138,16.9936,11.0318,1.8816,1
6218.5181,3314.3071,16.7011,10.9848,1.8763,1
6171.7305,3291.6724,16.4201,10.8351,1.875,1
6150.6572,3279.9854,16.3141,10.7583,1.8752,1
6125.1255,3271.1804,16.1161,10.7006,1.8725,1
6098.4702,3247.0007,16.1053,10.543,1.8782,1
6088.3086,3224.3398,16.2748,10.3964,1.8882,1
6084.4995,3219.627,16.2892,10.366,1.8898,1
6077.6807,3222.031,16.1752,10.3815,1.8863,1
6080.9321,3218.1064,16.2654,10.3562,1.8896,1
6103.1416,3210.9429,16.628,10.3102,1.9007,1
6100.9712,3216.8894,16.5251,10.3484,1.8965,1
6079.4756,3210.0542,16.3513,10.3045,1.8939,1
6046.9209,3200.9766,16.0728,10.2463,1.8891,1
6035.8906,3179.9359999999997,16.208,10.112,1.8981,1
6032.7124,3171.1379,16.2814,10.0561,1.9024,1
6023.6797,3168.6938,16.2035,10.0406,1.901,1
6023.1230000000005,3173.5149,16.1359,10.0713,1.8979,1
6129.9316,3195.5195,17.1534,10.2113,1.9183,1
6143.938,3208.7917,17.1553,10.2963,1.9147,1
6181.2549,3218.4001,17.4917,10.3581,1.9206,1
6227.3252,3216.6797,18.0855,10.347000000000001,1.936,1
6162.0044,3263.8579,16.6647,10.6528,1.8880000000000001,1
6153.8096,3281.9602,16.3268,10.7713,1.875,1
6090.1548,3307.3555,15.213,10.9386,1.8414,1
6102.189,3251.9517,16.0863,10.5752,1.8765,1
6123.4321,3270.7776,16.1004,10.698,1.8722,1
6140.4561,3268.73,16.336,10.6846,1.8785,1
6146.8906,3256.887,16.5696,10.6073,1.8874,1
6108.0698,3258.5732,16.0722,10.6183,1.8745,1
6102.4351,3228.3086,16.3958,10.422,1.8903,1
6128.6304,3225.74,16.7494,10.4054,1.8999,1
6115.481,3229.3071,16.5423,10.4284,1.8937,1
6117.603,3218.7815,16.7039,10.3606,1.9006,1
6154.2441,3247.843,16.7781,10.5485,1.8949,1
6216.6802,3293.54,16.953,10.8475,1.8875,1
6303.6665,3325.7622,17.6165,11.0607,1.8954,1
6255.3667,3387.2568,16.1843,11.4736,1.8467,1
6123.6807,3349.7561,15.062000000000001,11.2209,1.8281,1
6066.4805,3237.3911,15.8408,10.4807,1.8739,1
6016.4937,3193.9412,15.7964,10.2013,1.8837,1
5945.6904,3157.4001,15.414000000000001,9.9693,1.8831,1
